spa|pbb
estrella (f)|ã', ã'mush
calentar (v.t)|aacha'j-
externo (adj)|ãacjẽ
hipócrita (m)|ãacjẽrráa ew we'wesa, ũuste yu' ewmẽe yaacysa
a ver (conj)|aan
andas (f.pl)|aandas
evidentemente (adv)|ãandyija'
obligatoriamente (adj)|ãandyijimẽe
año (m)|aañu
anualmente (adv)|aañu iisa
asaltar (v.t)|ãapj-
abiertamente (adv)|aate, aaga
causar dolor (v.t)|aca ũs-, caaca'j-
doler (v.i)|aca yuu-, aca pa'j-, yaaca-
dolor (m)|aca, acasa
caer encina de (v.t)|acaach-
ahora (adv)|ãch
hoy (adv)|ãch
recién (adv)|ãch, ãchrrãa
ardor (m)|acha
caliente (adj)|acha
calor (m)|acha
tierra caliente|acha quiwe
hacer calor (v.i)|acha yuu-
ligero (adv)|acha, acha acha
inferior (adj)|achamẽe ew
ahora mismo (adv)|ãchjíi
hasta ahora|ãchpcach
catarro (m)|acj
gripe (f)|acj
trampa (un peso cae sobre la presa) (f)|acj
echar (v.t)|acj-
resfriarse (v.i)|acj pa'j-
poner (cosa larga encima de)|acjicj-
pisar (v.t)|a'cji'j-, waacji'cj-
ajo (m)|acjus
colgar (v.t)|a'cy-
macana (para cavar) (f)|acy, a'cjy (T)
colgado (p.p.)|a'cyni
estar colgado (v.i)|a'cyni u'p-
aclarar (agua contaminada) (v.i)|afi-
tapar (por encima) (v.t)|afijmb-
claro (adj)|afy
guama (fruta) (f)|afy
guamo (árbol) (m)|afy tash
lugar (m)|aj
montar (a caballo) (v.t)|a'j-
completo (adj)|ãj
suficiente (adj)|ãj
ahumar (v.t)|aj cshi'ta'j-
ahumado (p.p)|aj uweni
cocinar (v.t)|aj-, īitse'j-, mityjaj-
poder (v.t)|aja-, ewuu-, chjãchja-
alcanzar (ser suficiente) (v.i)|aja-, sumba-
incompleto (adj)|ãjmẽe
insuficiente (adj)|ãjmẽe
menos (adv)|ãjmẽe
ser indigno (v.i)|ãjmẽe yuu-
deficiente (adj)|ãjmeesa
indigno(adj)|ãjmeesa, ãjmeecuesa
jinete (m)|a'jsa
capaz (adj)|ãjsa
poderoso (adj)|ãjsa, ewusã, chjãchjasa
desprecio, con desprecio (m)|ajtsajtse
aborrecer (cobrar odio a una persona)(v.t)|ajtse-
odiar (v.t)|ajtse-
despreciar (v.t)|ajtse-, atseyajcy-, weech-
menospreciar (v.t)|ajtse-, dyī'wẽje-
dar látigo (v.t)|ajwend-, ya'jwend-, pechujcue-
alcalde (m)|alcalte
perro (m)|alcu
almud (m)|almun
alverja (f)|alpes
artesa (batea típica) (f)|altesa
lobo (m)|alum
hacha (f)|am
era (f)|amb
surco (m)|amb
echar (cosa molida) (v.t)|amb-, ambu'mb-
derrumbar (v.t)|a'mbande-
alzar (era) (v.t)|ambu'ju-
amo (m)|amu
patrón (m)|amu
Vía Láctea (f)|ã'mush
altasara (planta) (f)|anayún
enrollar (v.t)|and-
desenrollar (v.t)|andtende-
mío (adj.pos)|andy jīi
conmigo|andy yacj, ũ'cue yacj
mí, mis (adj.pos)|andy, ũ'cue
yo (pron)|andy, ũ'cue
secar (v.t)|andyi'j-
cubrir (con cobija) (v.t)|anz-
carpintero (ave) (m)|anza, fytũu pagayũ
reclinar (v.t)|anzẽe- (enzẽe-)
recostarse (v.i)|anzẽe- (enzẽe-)
pelar los dientes (perro) (v.i)|anzh-
recién nacido (p.p)|ãpãcuẽ, u'se casejsa
aletear (v.i.)|a'pa'pja-
haba (planta) (f)|apas
auyama (f)|ape
zapallo (m)|ape
agonizar (v.i)|ape-
zancudo (m)|apj
cerrar (v.t)|apj-
cubrir (v.t)|apj-
tapar (v.t)|apj-
mosquito (m)|apj le'ch
escarbar (v.t)|apj-, cha'mbu'mb-, wuw-
tapa (f)|apjãa
cerrado (p.p)|apjni
empollar (v.t)|ã'pjy-
clueca (adj)|ã'pysa
poner (encima de)|aqui'p-
arrendar (v.t)|arendaī-
arracacha (f)|ã's
echar (granos, palos, piedras) (v.t)|ãsh-
rascadera (f)|ã'sh
asno (m)|ashnu
cargar (en la mano) (v.t)|at-
coger (en la mano) (v.t)|at-
llevar en la mano|at-, yaat-
desplumar (v.t)|atall cjas ujnde-
pollo (m)|atall luuch
gallo (m)|atall pijts
cantar (gallo) (v.i)|atall we'we-
canto del gallo (m)|atall we'wetste
gallinero (m)|atall yat
gallina (f)|atall, atall u'y
azul celeste|atate tsẽy
amarillento (adj)|atatelem
luna (f)|a'te
mes (m)|a'te
luna nueva|a'te luuch
luna llena|a'te tjẽ'j
en tiempo de luna|a'te weete
limpio (adj)|ate, tsejc
despejar (v.t)|atẽe-, tãapj atẽe-
vestirse (v.r)|atj- (jatj-), jyaatj-
vestido (m)|atjni
tranca (f)|atjni, jatjni
enfermo (adj)|ãtsã'
enfermarse (v.r)|ãtsã'-
sano (adj)|ãtsã'mẽe
estar enfermo (v.i)|ãtsa'na ũs-, ũuya' ũs-
enfermo (m)|ãtsã'sa
desplomarse (v.r)|atscue-
asco (m)|atsejy
enemigo (m)|atsesa
hablar con desprecio (v.t)|atsewe'we-
desprecio (m)|atsewe'weni
cernir (v.t)|a'tsja-
colar (v.t)|a'tsja-
deshojar (v.t)|ãtsja-
cernidor, cedazo (m)|a'tsjanisa
susunga (cernidor) (f)|a'tsjanisa
acornear (v.t)|atsju-
trabar (v.t)|atsju-
desprender (v.t)|atsjunde-
desprenderse (v.r)|atsjute-
barbacoa (casilla) (f)|ãtũ, deeni ãtũ
hacer barbacoa (v.t)|ãtu'j-
telar (para tejer ruana) (m)|aty tel
poner (encima de)|atyaj-
investigar (v.t)|atyãj-
averiguar (v.t)|atyãj-, paapẽjy-
ruana (f)|atyj
anaco (falda) (m)|atyj tul, is atyj
estornudar (v.t)|a'tyji'j-
aterrizar (v.i)|aviun cach-
escupir (v.t)|avy-, (rep) avytjetj-
echar (líquido) (v.t)|aw-
ají (m)|ãwã
lucero (m)|ã'wala
nativo (adj)|aygawe'sh
acá (adv)|aysu
aquí (adv)|ayte, ayga, aysu
por acá|ayuy
jamás (adv)|bagach yujva
nunca (adv)|bagach yujva, uca
cuando, ¿cuando? (adv)|bagach, ma'wẽn
siempre (adv)|bagachteva
cuandoquiera (adv)|bagachva, ma'wẽnva
calentarse (v.r)|bajch-, achãa-
cabuya (f)|bajts
fique (m)|bajts
desfibrar cabuya (v.t)|bajts cu'nd-
tibio (adj)|bajy, wajwa
cabuyal (m)|bats ej
sembrado de fique|bats ej
penca de cabuya (f)|bats ets
fibra de cabuya (f)|bats yaj
oxidarse (v.r)|baytu'c-
chicha (f)|beca
chicha dulce|beca ñusha
chicha fermentada|beca pus
chichería (f)|beca yat
guarapería (f)|beca yat
hacer chicha (v.t)|beca'j-
estar medio-colgado (v.i)|becuena ũs-
sonrojarse (v.i)|beecãj-
colorado, rojo (adj)|bej
rojo (adj)|bej
arder (v. i)|bej-
enrojecerse (v.i )|bej yuu-
ponerse colorado (v.i)|bej yuu-
rosado (adj)|bejbej chijme
vela (f)|bela
estar suspendido (colgado) (v.i)|belena u'p-
trapo (m)|bell, trapu
bendecir (v.t)|bendecī-
plato (m)|bich
embijar (v.t)|biite'j-
ampollar (v.t)|bish-, shcambish-
pintado (con pintas) (adj)|bite
umbral (m)|blal
panzón (adj)|buc
estar panzón (v.i)|buc-
espuma (f)|bu'ch
planta medicinal (f)|bu'ch
burbujear (v.i)|bu'ch-
empezar hervir (v.i)|bu'ch-
brotar (v.i)|bucha-
retoñar (plantas) (v.i)|bucha-
hacer ruido (motor) (v.i)|bu'mbu-
andamio (m)|bush
roncha (f)|buta
larva (f)|buts
sarampión (m)|buts wee le'chcue
yaruma (árbol) (m)|butse, butse tash
varicela (f)|butswee wajwa
viruela (f)|butswee wala
chinche del árbol (insecto) (f)|buu
aumentar (v.t)|cããajã'j-
hacer quemar (v.t)|caacambu'j-
hacer ahogar (v.t)|caacambutsje‘j-
echar los cimientos (v.t)|caachinda'j-
hacer sentarse (v.t)|caachji'j-
hacer asar (v.t)|caacjacje'j-
dejar pasar (para arriba) (v.t)|caacjẽu'j-
hacer desatar (v.t)|caacjimbu'j
hacer arrancar (v.t)|caacjumbe'j-
dejar hervir (v.t)|caaclala'j-
hacer confesar (v.t)|caacmbeesa'j-
hacer ganar (v.t)|caacnayu'j-
hacer confrontar (v.t)|caacndyi'pu'j-
hacer vomitar (v.t)|caacpunga'j-, cpunga'j
hacer regar (v.t)|caacpũushi'j-
hacer creer (v.t)|caacreī'j-
hacer bailar (v.t)|caacu'ju'j-
hacer sacar (v.t)|caacutyi'j-
hacer lavar las manos (v.t)|caacwcha'j
hacer brillar (v.t)|caacweetje'j-
hacer poner sombrero (v.t)|caafīcje'j-
causar vivir (v.t)|caafi'nze'j-, cfi'nze'j-
hacer firmar (v.t)|caafirmaí'j-
hacer vivir (v.t)|caafi'ze'j-, cfi'nze'j
hacer gastar (v.t)|caagastaī'j-
dejar bajo custodia de otro (v.t)|caaiipe'je'j
mandar cocer (v.t)|caaīitse'j-
dar a la hija en casamiento (v.t)|caaimi'a'j
casar (a la hija) (v.t)|caaimi'j-
hacer mentir (v.t)|caaīshi'j
permitir destruir (v.t)|caaiviitu'j-
comparar (v.t)|caaja'nda'j-
igualar (v.t)|caaja'nda'j-
explicar (v.t)|caajiyu'j-, cjiyu'j-
mandato (m)|caajni, jycaajni
hacer rezar (v.t)|caalisa'j-
casar (al hijo) (v.t)|caamba'j-
ahogarse (en el agua) (v.r)|caambutsj-
avío (m)|caame
colocar espantapájaros (v.t)|caanasa'j-
poner espantapájaros (v.t)|caanasa'j-
engordar (v.t)|caanishi'j-, cniishi'j-
pegar (con goma) (v.t)|caanuqui'j-
hacer dejar (v.t)|caanviitu'j
hacer obedecer (v.t)|caanwẽese'je'j
hacer arrimar (v.t)|caanze'j- (queenze'j-)
poner inclinado (v.t)|caanze'j-(queenze'j-)
hacer cubrirse (v.t)|caapã'chi'j-
hacer estallar (v.t)|cãapa'j
detonar (v.t)|cãapa'j-
permitir llegar (v.t)|caapa'ja'j-
hacer lavar la cara (v.t)|caapchjī'ch'j-
hacer reunirse (v.t)|caapcjaacje'j-
permitir reunirse con (v.t)|caapcjaacje'j-
hacer enfrentar (v.t)|caapdyi'pu'j
hacer olvidar (v.t)|caapechcanu'j-
mandar dar látigo (v.t)|caapechucue'j-
hacer regalar (v.t)|caapeesu'j-
propiciar (al ser maligno) (v.t)|caapeewecha'j-
arrodillar (v.t)|caapẽjyucue’j-
hacer arrodillarse (v.t)|caapẽjyucue'j-
hacer perdonar (v.t)|caapeltunaī'j-
hacer abundar (v.t)|caapena'j-, cpeena'j-
permitir enterrar (v.t)|caapenda'j-
dejar robar (v.t)|caapeswe'j-
mandar acompañar (v.t)|caapi'qui'j-
enseñar (v.t)|caapiya'j-, peevya'j- (T)
enseñanza (f)|caapiya'jni
maestro (m)|caapiya'jsa, peevya'sa (T)
hacer arreglar (v.t)|caapj eu'j u'j-
hacer abrir (v.t)|caapjande'j-
hacer derretir (v.t)|caapquivi'j
hacer casarse (v.t)|caaptamu'j-
mandar avisar (v.t)|caapta'shi'j-
poner fin a (v.t)|caaptsu'j-
terminar (poner fin a) (v.t)|caaptsu'j-
mandar ayudar (v.t)|caapu'chji'j-
hacer pelear (v.t)|caapui'j-
mandar alimentar (v.t)|caapuutsu'j-
hacer encontrarse (v.t)|caapuutyuyu'j
conciliar (v.t)|caapuutywe'we'j- (lit. hacer conversar)
hacer bajar (desde arriba) (v.t)|caaquīiji'j-
hacer peinar (v.t)|caaquindu'j-
mandar peinar (v.t)|caaquindu'j-
mandar poner (v.t)|caaqui'pu'j-
mandar guardar dieta (v.t)|caaqui'su'j-
mandar encender (v.t)|caaqui'ta'j-
hacer gotear (v.t)|caaquityi'j-
dejar pasar (para abajo) (v.t)|caascjeu'j-
descansar (v.i)|caase-, jycaase-
hacer encarcelar (v.t)|caashi'j-
hacer sentir incapaz (v.t)|caashingu'j
mandar callar (v.t)|caashuuna'j-
devolver (v.t)|caashwendu'j-
mandar cortar (v.t)|caaspẽtje'j-
amansar (v.t)|caastyaja'j-
domesticar (animales) (v.t)|caastyaja'j-
hacer resonar (v.t)|caasyũyũ'j-
hacer girar (v.t)|caatandy i'j-, ctaandyi'j-
hacer dar vuelta (v.t)|caata'ngu'j- , cta'ngu'j-
hacer subir (v.t)|caateca'j
hacer poner en el cepo (v.t)|caatelu'j-
cargar (debajo del brazo) (v.t)|caatenzu'j-
hacer enfermar (v.t)|cãatsa'j
hacer coser (v.t)|caatsu'j-
hacer llevar (v.t)|caatu'j
hacer beber (v.t)|caatundyi'j-
hacer cortar (v.t)|caatwaca'j-
mandar sentarse (v.t)|caatywete'j-
hacer vender (v.t)|caatyweyu'j-
hacer andar (v.t)|caau'ju-
enojar (v.t)|caaũuscha'j-
ahogar (v.t)|caaũuspa'j-
hacer pensar (v.t)|caaũusutje'j-
hacer pasar por (v.t)|caauycjẽu'j-
hacer ver (v.t)|caauyu'j-
hacer unir (v.t)|caaviitse'j-
hacer escupir (v.t)|caavi'j
mostrar (v.t)|caavya'j-, pta'sh- tywes-, ctjeengu'j-
hacer masticar (v.t)|caawa'qui'j-
atemorizar (v.t)|caawãshi'j-
asustar (v.t)|caãwashi'j-
cabecear (v.i)|caawũwu-
hacer menear (v.t)|caawũwu'j-
hacer envolver (v.t)|caayapu'j-
hacer recordar (v.t)|caayaqui'j-
hacer endeudar (v.t)|caayulu'j-
hacer cambiar (v.t)|caayu'ptje'j-
hacer reconciliar (v.t)|caayuwewu'j-
cabildo (m)|cabildo
cabildante (m)|cabilduwe'sh, cjũeswe'sh
papa (f)|ca'ca, ca'ga
posar (ave) (v.i)|cach-
sentarse (v.r)|cach-, pish- (C)
asiento (m)|cachni
estar sentado (v.i)|cachrra u'p-
cacho (m)|cachu
cuerno (m)|cachu
caja (f)|cacja
caja dental|cacja
menstruar (v.i)|cacue yu' vyaa-
cuerpo (m)|cacue, cuejcue
fiebre (f)|cacuesec
café (m)|cafẽ
cosechar café|cafẽ ujnde-
limpiar café|cafẽ vis-
abrir (hoyo, hueco) (v.t)|cafi'j-
cavar (v.t)|cafi'j-
agujero (m)|cafy
cueva (f)|cafy
hoyo (m)|cafy
papal (m)|ca'ga ej
hacer entrar (v.t)|ca'ga'j-
meter (v.t)|ca'ga'j-
enviar (v.t)|caj-
subir (de abajo) (v.i)|cãj-, cũj-
alcanzar (con la mano) (v.t)|cãja-
hacer montar a caballo (v.t)|ca'ja'j
completar (v.t)|cãja'j-
tío (hermano de la mamá) (m)|cajca, ncaaca
encina (adv)|cajcue, cuejcue
sobre (prep)|cajcue, cuejcue
encima de|cajcuega
conejo (m)|cãjpy
trenza (f)|ca'jyam
trenzar (v.t)|ca'jyam-, tsũ'ta'j-
trenzado (p.p)|ca'jyamni
caldera (f)|calderu
calzones (m.pl)|calsun
uva silvestre (f)|camañũn
quemar (v.t)|camb-
boda (f)|camba en, ptamu en
casamiento (m)|camba en, ptamu en
matrimonio (día de matrimonio) (m)|camba en, ptamu en
casarse (v.r)|camba-, ptamu-
dejar hervir (v.t)|cambi'j-
mentir (v.t)|cami- (J)
mezclar (v.t)|ca'nd-
asociarse con (v.r)|ca'ndu-, nuuqui-
hacer llorar (v.t)|ca'ne'j
feo (adj)|canzh
apestar (v.i )|canzh putãa-
oler (mal)|canzh putasã
olor (fétido)|canzh putasã
hablar mal|canzh we'we-
inmoralidad (f)|canzh yuuni
chivo (m)|capia
motilón (árbol) (m)|capijnz
echar una clueca (v.t)|cã'pji'j-
cabra (f)|capla
aliviarse (v.r)|case-
resultar (v.i)|case'j- (cãsej-)
salir (v.i)|case'j- (cãsej-)
salida (f)|case'jete
canasto (m)|cash
ralo (adj)|cash
sacar (cosas o animales) (v.t)|cashish-
sufrir castigo (v.t)|castigo cnay-
hacia (prep)|ca't, ca'tu
encabar (v.t)|catashi'j-
encabado (p.p)|catashi'jni
tirante (pieza de la armadura del tejado) (m)|catj
marco del telar (m)|catjwe'sh
coser (v.t)|cats-
coatí (m)|cãtsa
cusumbe (mamífero) (m)|cãtsa
costura (f)|catsni
descoser (v.t)|catstende-, catsunde-
al revés|ca'tu tupyrra
mojar (v.t)|catu'j-
mejorar (de una enfermedad) (v.i)|catyji-, chjãchja-, case-
hacer estornudar (v.t)|ca'tyji'ji-
permitir comer (v.t)|ca'wẽje'j-
sacudir (v.t)|cãwũjw-
calmar (v.t)|caycase'j-
hacer quitar ruana (v.t)|caycatsunde-
hacer tragar (v.t)|caycjẽje'j-
hacer poner (freno, gorra) (v.t)|caypatje'j-
hacer equivocar (v.t)|caypumba'j-
hacer bajar (v.t)|caysã'ja'j-
hacer demorar (v.t)|caytẽeyu'j
atrasar (v.t)|caytẽeyu'j-
dejar pasar tiempo (v.t)|caytjacue'j-
avergonzar (v.t)|caytjame'j-
causar pena (v.t)|caytjame'j-
hacer amarrar (v.t)|caytundu'j-
contentar (v.t)|caywecha'j
dar ataque (v.t)|caywẽchpa'ja'j-
hacer sanar (v.t)|caywẽtu'j
hacer estirar (v.t)|cayzunzu'j
calentar (líquido) (v.t)|cbaji'j-
hervido (adj)|cbajy
suspender (colgado) (v.t)|cbeele'j-
hacer brotar (planta) (v.t)|cbuucha'j-
hacer chupar (v.t)|cchaanzha'j-
empachar (v.t)|cchiiwa'j-
peinilla (f)|cchill wala
machete (m)|cchill wala, chill wala
cuchillo (m)|cchill, chill
animar (v.t)|cchjãachja'j-
fortalecer (v.t)|cchjãachja'j-
dar de mamar (v.t)|cchu'chu'j
picotear (v.t)|cda'ndaja-
acostar (v.t)|cdeeje'j-
adormecer (v.t)|cdeeje'j-
desvelar (v.t)|cdeeje'jmẽe-
hacer bostezar (v.t)|cdeewayi'j-
hacer pagar (v.t)|cdeewe'j-
hacer entregar (v.t)|cduucje'j
hacer escribir (v.t)|cfi'ja'j-
travesaño (m)|cfind
poner travesaño (v.t)|cfindũu-
viche (adj)|chacha
formar grano (trigo) (v.i)|cha'cute-
enfadarse (v.t)|cha'cy-
pina (f)|chajũ
grueso (adj)|chal, lepjy
chicharrón (m)|chalun
zanja (f)|chamba
cavar zanja (v.t)|chamba'j-
sarna (f)|chandy
caspl (árbol) (m)|chandy, dyí'tjemby
escoplo (herramienta) (m)|chang
absorber (v.t)|chanzha-
chupar (v.t)|chanzha-
despegar (v.t)|chaquijnde-
empujar (v.t)|chãty-, upacy-, upagacy-, (rep) upagaqui'cy
venado (m)|chavy
dar un paso (v.i)|chavy-, (rep) chavi'vi'-
higuerón (árbol) (m)|chavytũu
chiharra (insecto) (f)|chawee, seccuet
quebrar (v.t)|chcande- (shcande-), (rep) chcandende- (shcandende-)
quebrarse (v.r)|chcate- (shcate-), upe-
perico (ave) (m)|chī'
gorgojo (m)|chica
gorgorearse (v.r)|chicãa-
carne (f)|chich
carne pulpa|chich tujnd
cecina (f)|chich ujndy
blanquear (v.t)|chiime'j-, pchiime'j-
blancuzco (adj)|chijmchijme
blanco (adj)|chijme
ponerse pálido (v.i)|chijme yuu-
pálido (adj)|chijme yuuni
tiesto (m)|chi'la
pata (f)|chinda
pie (de persona) (m)|chinda
pierna (f)|chinda
espinilla (f)|chinda ca'ca
tobillo (m)|chinda ca'ca
patimocho (adj)|chinda much
empeine (m)|chinda pẽtyj
planta del pie (f)|chinda pjapj
talón (m)|chinda tã'sh
dedo del pie|chinda vyllill, chinda vi'y a (T)
tendón (del pie)|chinda watse
a pie|chindaj, chindarrãa
cruzar las piernas (v.t)|chinda's pchat-
colgar (suspendido) (v.t)|chita-, (rep) chita'ta-
fuerte (adj)|chjãchja
fortalecerse (v.r)|chjãchja-
recuperarse (v.r)|chjãchja-
brasa (f)|chjã'chja
confiar en (v.t)|chjãchja yajcy-
carbón (m)|chjã'chja, i py chjã'chja
débil (adj)|chjãchjamẽe
chanza, broma (f)|chjacue we'we (shaacuẽ we'we-)
chancear (v.i)|chjacue we'we- (shaacuẽ we'we-)
cómico (adj)|chjacueesa
chistoso (adj)|chjacuesa, pjay
madrugada (f)|chji'ndytey, wala cusīi
mamar (v.i)|chu'c h-
pecho (de mujer)|chu'ch
teta (f)|chu'ch
pezón (m)|chu'ch letani
destetar (v.t)|chu'ch tyunde-
chucha (f)|chucha
zarigüeya (f)|chucha
baile de la chucha|chucha cu'jni
baile de la chucha|chucha cu'jni
arrancar (espigas) (v.t)|chucuende-, chuctende-
arrancar (v.i)|chucuete-
agudo (adj)|chujwa, chujwe
filudo (adj)|chũjwa, chũjwe
puntiagudo (adj)|chũjwa, chũjwe
dorotea (ave) (m)|chulfity
chonta (f)|chunda
vara (usada por brujo) (f)|chunda
trompo (juguete) (m)|chunga, jande chunga
cordón (m)|chu'nzhu
látigo (m)|chu'nzhu
arrugarse (v.r)|chu'nzhu-, cue'nzhi-
orejudo (adj)|chũpy
sombrero de ramos|chũpy chwa'
enmohecerse (v.i)|chuuma'ma-
sombrero (m)|chwa'
ala de sombrero (f)|chwa' ets
carángano (Insecto) (m)|chwatyj
vaca (f)|cía u'y
cielo (m)|cielu, ẽe tsẽy
bastón (m)|cjãambu
ortiga (planta) (f)|cjãas
desgranar (maíz) (v.t)|cjaavi'ji-, cutyj shande-
tamo (m)|cjach, tama
asar (v.t)|cjacj-
descolgar (v.t)|cja'cj linde-, cja'cjtende-
hormiga (f)|cjã'cjã, cjã'ng
asado (p.p)|cjacjnisa
enjalma (f)|cjalma
quitar enjalma (v.t)|cjalma spajcy
desengañar (v.t) (fig)|cjalma spajcy-
desenjalmar (v.t)|cjalma spajcy-
enjalmar (v.t)|cjalma tyaj-
poner enjalma (v.t)|cjalma tyaj-
hormiguero (m)|cjã'ng yat
fétido (adj)|cjãp
jáquima (f)|cjaquima
lana (f)|cjas
vello (m)|cjas
lana escarmenada|cjas pjapj
madeja de lana (f)|cjas pjapj
cardar (lana) (v.t)|cjas shunde-, cjaasu'j
mudar plumas (v.t)|cjas umbu-
huso (m)|cjas waga'te, dyi'tj waga'te
ovillo (de hilo de lana) (m)|cjas wãjyand
rueca (para hilar) (f)|cjas wat
jigra de lana|cjas ya'ja
mazamorra (f)|cjash
langosta (f)|cjã'sh
grillo (m)|cjã'sh le'ch
chicha de maíz|cjash yu'
hacer mazamorra (v.t)|cjashi'j-
lanudo (adj)|cjastjẽ'j
corteza (f)|cja'ty
cuero (m)|cja'ty
piel (f)|cja'ty
vaina (f)|cja'ty
curtir (cuero) (v.t)|cja'ty cu'nd-
rejo (m)|cja'tya
dar rejo (v.t)|cja'tya-
castigar (v.t)|cja'tya-, castigaī-
desprender (v.t)|cja'tyinde-
desprenderse (v.r)|cja'tyite-
grano (semilla) (m)|cjavy
abajo, hacia abajo (adv)|-cjẽ
abajeño (s)|cjẽcjenaasuwe'sh
esófago (m)|cjẽendyi'j, jycjẽendyi'j (lit. camino de tragar)
boca arriba (adv)|cjẽetee
bajar (hacia abajo) (v.i)|cjẽj-
caber (v.i)|cjẽj-
convenir (v.i)|cjī-
poner (cosa larga) (v.t)|cjicj-
centellear (v.i)|cjicji'cji'j-
amanecer (v.impers)|cjicjy-
aclarar (día) (v.i)|cjicy-
sombrero de hoja de caña|cjīij chwa'
mata de caña brava|cjīij tash
caña brava (f)|cjīj
desatar (v.t)|cjimb-
desbaratar (v.t)|cjimbtende-
hacer tener (v.t)|cji'pju'j
caña brava del páramo (f)|cjīsha
murciélago (m)|cjītse
desenredar (v.t)|cjlmb-
catarata (f)|cjlse
negro (adj)|cjũch
sucio (adj)|cjũch
morado (adj)|cjũch bejbej
moreno (raza) (m)|cjũch ji'j
teñir de negro (v.t)|cjũchacj-
castaño (adj)|cjũchcjũch bej
azul subido|cjũchcjũch tsẽy
ennegrecerse (v.r)|cjũchji-
negrecer (v.i)|cjũchji-
tiznar (v.t)|cjũchji'j-
borrar (v.t)|cjũcj- (cjucj- T)
limpiar (v.t)|cjũcj-, nuyaate-
borrador (para borrar) (m)|cjũcju
juez (autoridad) (m)|cjuẽs
primero, primeramente (adv)|cjuẽ'y
arrancar (v.t)|cjumbe-
desarraigar (v.t)|cjumbe-
desarraigarse (v.r)|cjumbete-
ensuciar (v.t)|cjũuchji'j-
ceniza (f)|cjuuts
lejía (f)|cjuuts yu'
pólvora (f)|cjuuts, ũpacjuuts
permitir tocar (v.t)|cjya'ndyi'j-
dejar crecer el pelo (v.t)|cjyu'ja'j-
vestir (v.t)|cjyũ'ju'j-, caatje'j-
ganado (m)|cla
res (f)|cla
carne de res|claa chich
becerro (m)|claa luuch
garabato (m)|claapatu
clavija (para torcer laso) (f)|claapjica
carate (especie de sarna) (m)|claatyi
hervir (v.t)|clala-
ordeñar (v.t)|cla's cu's-
clavo (m)|claus
lengua de fuego (f)|clech
flamear (despedir llamas) (v.i)|cleechi'chi-
inspector (m)|cleecytul (T)
calle (f)|clliicjun
duende (m)|cllumb
cruz (f)|cluus
mandar crucificar (v.t)|cluuscje caafyutsu'j-
crucificar (v.t)|cluuscjẽ fyuts-
hacer trabajar (v.t)|cmaajī'j-
comadre (f)|cmale
compadre (m)|cmbale
mandíbula (f)|cmbamba
quijada (f)|cmbamba dyi'tj
hacer zumbar (v.t)|cmbu'mbu'j-
hacer cantar (v.t)|cmeemu'j-
camisa (f)|cmiisa
hacer amontonar (v.t)|cmuutsu'j-
espantapájaros (m)|cnaasa'
joven (mujer) (f)|cna'sa
ganar (vencer) (v.t)|cnay-
