spa|pbb
Artículo 1. Colombia es un Estado social de derecho, organizado en forma de República unitaria, descentralizada, con autonomía de sus entidades territoriales, democrática, participativa y pluralista, fundada en el respeto de la dignidad humana, en el trabajo y la solidaridad de las personas que la integran y en la prevalencia del interés general.|F'i'n'i pe'la 1. Kulubyate c'hab wala kiwe' 1'i fizen''s nwe'wena ikahsa' Ec Ne'hwes'te ikwehkwesa', isa ic'hác'ha eenteyu' tekh hwedte ipu'kithwa' hi'psa'. Ma'we phewu'n'ina, Kulubya' teec' hwedsac'a'; mte mte kiwetepa áhc'a ikahwa'sa', peek'i ikah kiwete' peek' iiushu fi'zewa' hi'pta'; sa' naa kiwete' f'iiy f'iiy ius yaak'sayakhpa pekhakhena úswa'ha'. K'a'weyc'a npicthé'a'sa' c'hab walaku ki'pu'. Ma'we neesn'ina, fi'zen'i h'ukaysahi wétte eena' eena' puuk' eh thegwea'ha'sku we'we, peeh'sapwe's' puuk' pu'c'hwa'ha's; h'ukaysa mahiwa' hi'p; k'azsaynas úiuspeyi ha'date c'hác'hawa' hi'p.
Artículo 2. Son fines esenciales del Estado: servir a la comunidad, promover la prosperidad general y garantizar la efectividad de los principios, derechos y deberes consagrados en la Constitución; facilitar la participación de todos en las decisiones que los afecta en la vida económica, política, administrativa y cultural de la Nación; defender la independencia nacional, mantener la integridad territorial y asegurar la convivencia pacífica y la vigencia de un orden justo.|F'¡'n'i pe'la 2. Naa c'hab wala kiwete npicthé'we's'a' nasa hu'ghu ya'yaak'n'i's K'tey yuuna h'ukaysat'i nwe'we hi'pta': c'hab wala h'ukay wét iiskiwe'n'isuma'kyuu, h'ukaysahitewe's'ma'kyuu, ipeyni'ma't'yuu, pkhakhec'a ius ki'pn'isuma'kyuu, kwe's' kusesu fiin fiin atn'i'tfima't'yuu, naa c'hab wala kiwete kimyuhpa v'ite c'hab wala kiwehuwe's' kuc'
Artículo 7. El Estado reconoce y protege la diversidad étnica y cultural de la Nación colombiana.|F'i'n'i pe'la 7. Naa Kulubyate Ec Ne'hwe's'a' maa nasapa úuskiwe'n'i fiiy fiiy hi'psa nasat'pa K'ana'wec'ac'a ha'data' hic'ak nwe'we', naa Kulubya kiwetewe's't'i.
Artículo 8. Es obligación del Estado y de las personas proteger las riquezas culturales y naturales de la Nación.|"F'¡'n'i pe'la 8. Naa Kulubyate npicthé'we's'ma't'yuu , maa nasama't'yuu napa h'ukaysa; maa maasahi tiskiwe'n'imat'yuu, naa kiwete kihy kihypa iista'; k'at'i"" nwe'wena, ipe'hna f'i'ze hiptha'w."
Artículo 10. El castellano es el idioma oficial de Colombia. Las lenguas y dialectos de los grupos étnicos son también oficiales en sus territorios. La enseñanza que se imparta en las comunidades con tradiciones lingiísticas propias será bilíngiie.|"F'¡'n'i pe'la 10. Waas yuwe' Kulubyate nasa h'ukaysahi'. Napa nasa kiweka' kwe's' yuwe' k'a'weysaic'a'. Naa nasasa c'habsu' e'z yuewetey kapiya'wa'ha""."
Artículo 63 y 72. Los bienes de Colombia son de todos: bosques de parques naturales, tierras comunales y de resguardos indios, los restos antígilos. El patrimonio arqueológico y otros bienes culturales que conforman la identidad nacional, pertenecen a la Nación y son inalienables, inembargables e imprescriptibles. La ley establecerá los mecanismos para readquirirlos cuando se encuentren en manos de particulares y reglamentará los derechos especiales que pudieran tener los grupos étnicos asentados en territorios de riqueza arqueológica.|F'i'n'i pe'la 63 y 72. Naa kulubyatewe'shi hi'pun'i kihy kihypa ústa'na' h'ukaysahitewe's'ta': tii wala yu'kh, nasasa ks'av' kiwe, hu'gthé'we's' nv'itn'i uu kaf'suwe's'; k'aa' kwe's' c'hab walahi'sahic'ata'. Naat'i's kimyuhpa fihuwe's'ti k'wayya' ewuwa'mesa'; waasma'kyuu waasmema'kyuu napa yuulpa'ka pu'ze'ya', suwya', iv'ituya', ewya' K'ac'h k'ah' kusete yaatthu hic'a yaamuya' k'a'wemec'a' nasasa ks'av' kiwetewe's'thu hic'apa ewuwa'mesa'; K'a'sa' c'hab walate npicthé' nwe'we hi'pa'. Hu'gthe'we's' v'isn'it'i' nasasayakha' Ec Ne'hwe's'ic'a nasasawe's' kusesu ha'da nv'itu hi'pa'.
Artículo 70. La cultura en sus diversas manifestaciones es fundamento de la nacionalidad. El Estado reconoce la igualdad y dignidad de todas las que conviven en el país. El Estado promoverá la investigación, la ciencia, el desarrollo y la difusión de los valores culturales de la Nación.|F'¡'n'i pe'la 70. Mpakac'tepa tiskiwe'n'it' isa C'Hab wala's teec'sana'wec'a iiswa' pa'ha'. C'hab wala's ikahsa npicthé'a' maa iiskiwe'n'itipa h'ukasatiik Kukubyatewe's't'i' teec'sana'wec'a eh thegu', sa' K'asa maat'ipa nuyi'na ki' mte mtepa ktuthe'wa' hi'pa”.
Artículo 40. Todo ciudadano tiene derecho a participar en la conformación, ejercicio y control del poder político. Para hacer efectivo este derecho puede: 1. Elegir y ser elegido. 2. Tomar parte en elecciones, plebiscitos, referendos, consultas populares y otras formas de participación democrática. 3. Constituir partidos, movimientos y agrupaciones políticas sin limitación alguna: formar parte de ellos libremente y difundir sus ideas y programas. 4. Revocar el mandato de los elegidos en los casos y en la forma que establecen la Constitución y la ley. 5. Tener iniciativa en las corporaciones públicas. 6. Interponer acciones públicas en defensa de la Constitución y de la ley. 7. Acceder al desempeño de funciones y cargos públicos, salvo los colombianos, por nacimiento o por adopción, que tengan doble nacionalidad. La ley reglamentará esta excepción y determinará los casos a los cuales ha de aplicarse. Las autoridades garantizarán adecuada y efectiva participación de la mujer en los niveles decisorios de la Administración Pública.|F'i'n'i pe'la 40. Maa nasapa h'uka thé'na kabasa' c'hab wala ithaasn'isu kwekwe's ipa'kana, ew thegna, ma'we v'iitn'isupa u'kawa' hi'pa'. K'su' na'wesu tuduya' ewuwa'ha': 1. Kwekwe ki'pya', meec'a' ki'pn'iyuuya!. 2. Npicthé'sa' kihy yuuwa' iiste' c'hab wala's h'tukay pkhakhc'a papeyina, ha'dac'ac'a yahk'mete'; k'te kt'hit'hi'hi hi'pa'. Kihy yuuwa' iiste' npicthé'we's' c'hab wala's ya'papehyte' K'a t'hit'hite' ih ya'iisuna: Kihy yuuya'pc'a npicthé'a' c'hab wala's ewuma'k ewumema'k hin'ima'kyuu. Ikahsa ec ma'we fi'n'i iistepa c'hab-wala hu'ghumesate' k'te 1vituwa'ma'kyuu sa' iv'ituya' ya'ewuna. 3. C'hab wala ithiasn'ite yahk'c'a yu'pkhakhewa' v'itya', kwekwe ipa'kana, peek' ijuste u'kana, mhi's hwe pta's'na u'huya' ewuna, kimyuhpa yupn'ime. 4. Ec Ne'hwe's'te, Ec Ne'hwe's'hu yuhsate pu'kithc'a c'hab wala' npicthé' ki'pn'isat' k'a kwekwe's kha'khudeya' ewuna. 5. Ikahwa' v'itn'i kwekwesu ius ki'pna. 6. Maa nasapa h'ukay ikahsa Ec Ne'hwe's'a's Ec Ne'hwe's'hu yuhsa yuwe's nwe'wewa' hi'pta'. 7. Maa nasapa c'hab wala ikahn'i kwekwe's ipa'kac'a kwe's't'i nuyi'ya' ewuna. Napa naa Kulubya c'hab walahume yuhsa ayka fi'zena k'ah' kiweka fi'zena yuusa' kwe's't'i nuyi'ya' ewumena. I'nee Ec Ne'we's'hu yuhsa yuwe ku'le'teyu' mhiya' ewuna. Naa mhisu' u'ypa ikahwa' v'itn'i kwekwesu mtepa u'kakan npicthé'sawe's'a' pu'ze'het'na.
Artículo 246. Las autoridades de los pueblos indígenas podrán ejercer funciones jurisdiccionales dentro de su ámbito territorial, de conformidad con sus propias normas y procedimientos, siempre que no sean contrarios a la Constitución y leyes de la República. La ley establecerá las formas de coordinación de esra jurisdicción especial con el sistema judicial nacional.|F'¡'n'i pe'la 246. Nasasa ne'hwe's'a' pee'k' iis kiwete' peek' iiuste nasat' ipe'hna iisu hi'pta', ma'we nasa ipe'n'i hi'pya'c'a' nasat'i k'tey yuuna k'aisa date ipehna; ikahsa Ec Ne'hwe's'tewe's't'i tas'te nvihtme ha'dayu'. Sa' Ec Ne'hwe's'hu yuhsa yuwe' nasasa ne'hwe's'pwe's'a' puuk' ha'da yuuna fi'zewa'ha's vituna.
Artículo 287. Las entidades territoriales gozan de autonomía para la gestión de sus intereses, y dentro de los límites de la Constitución y la ley. En tal virtud tendrán los siguientes derechos: 1. Gobernarse por autoridades propias. 2. Ejercer las competencias que les correspondan. 3. Administrar los recursos y establecer los tributos necesarios para el cumplimiento de susfunciones. 4. Participar en las rentas nacionales.|F'i'n'i pe'la 287 Naa ikahwa' t'utedn'i kiwete' maa maapa peek' iiushu yuuwa' hi'pta', K'awe's' ithásn'ite ma'we ipeyn'i ha'da, Ec Ne'hwe's' mtepa' ikah ha'da. K'a weh'ate na'we yuuwa' hi'pta' hrk : 1. Peek' ne'hwe's'yakh ya'ikahna teiis. 2. Kwekwe's ipa'kac'a' ne'hwe's'a' c'haba's k'tey yuuwa' hi'pta'. 3. Hi'pun'i ikahn'i kwekwetewe's't'i ew thegna, pkhakhn'i v'u u'kasa's ew kaselpina,K'tey K'tey yuuya' ya'tuduya'. 4. C'hab wala kiwete pkhakhn'i v'ua's ipa'kana.
